Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
Special Labor Inspector,-,Kim Ban-di,Park Won-kook,"Kim Dong-wook, Park Se-young, Ryu Deok-hwan, Kim Kyung-nam","Social satire, Action, Comedy",MBC TV,32,"April 8 –
May 28, 2019",2019,-,The series follows the story of a civil servant who is appointed as a labor inspector in the Ministry of Employment and Labor.
Spice Up Our Love,-,Cho Min-jung,Jung Hoon,"Lee Sang-yi, Han Ji-hyun","Romantic comedy, Fantasy",TVING,2,"October 3, 2024",2024,-,"An R-rated romance web novelist named Nam Ja-yeon unexpectedly transforms into Seo Yeon-seo, the female lead of her novel, and gets caught up in an erratic romance with Kang Ha-joon, the novel's male lead."
Splash Splash Love,-,Kim Ji-hyun,Kim Ji-hyun,"Kim Seul-gi, Yoon Doo-joon","Fantasy, Romance, Time slip","MBC
Naver TV Cast",2,"December 13 –
December 20, 2015",2015,-,"Danbi is a senior high school student taking the College Scholastic Ability Test (CSAT). However, she is not good at mathematics and is reluctant to take the exam. On exam day, she decides to run away and stops by a playground, where she hears a drum from a puddle of water. As she has the ability to travel through spacetime, she takes a leap of faith and jumps into the puddle of water and into the Joseon era."
Splendid Politics,"Hwajung, Hwajung, Princess of Light",Kim Yi-young,"Kim Sang-ho, Choi Jung-kyu","Cha Seung-won, Lee Yeon-hee, Kim Jaewon, Seo Kang-joon, Han Joo-wan, Jo Sung-ha","Historical, Political, Romance",Munhwa Broadcasting Corporation,50,"April 13 –
September 29, 2015",2015,-,"Prince Gwanghae (portrayed by Cha Seung-won), son of a concubine, usurps the Joseon throne from the direct bloodline of his father, King Seonjo (portrayed by Park Yeong-gyu)."
Sponsor (TV series),Desire,"Han Hui-jeung, Lee Joo-hee, (formerly, Park Kye-Hyung)","Lee Cheol (formerly, Kwak Ki-won)",-,"Drama, Thriller, Romance, Revenge","iHQ Drama, MBN",12,"February 23 –
April 6, 2022",2022,-,"A romance thriller between four men and women running like a runaway locomotive toward different desires, including success, revenge, children and love."
Spotlight (South Korean TV series),-,Lee Ki-won,Kim Do-hoon,"Son Ye-jin, Ji Jin-hee, Jo Yoon-hee, Jin Goo",Workplace drama,Munhwa Broadcasting Corporation,16,"May 14 –
July 3, 2008",2008,-,"Oh Tae Suk (Ji Jin-hee), a supervisor in a news division, works with his junior reporter Seo Woo Jin (Son Ye-jin) to expose the injustices of society."
Spring Day (TV series),Spring Days,Kim Kyu-wan,Kim Jong-hyuk,"Go Hyun-jung, Zo In-sung, Ji Jin-hee","Romance, drama",SBS TV,20,"January 8 –
March 13, 2005",2005,-,"Go Eun-ho (Ji Jin-hee), a doctor from Seoul, goes to Biyang Island to meet his father's mentor. There, he meets Seo Jung-eun (Go Hyun-jung), a silent, elusive beauty who has suffered a trauma so great that she's lost the will to speak. Fascinated and empathetic, Eun-ho helps Jung-eun find a way to overcome her past. But just when her gratitude starts to blossom into love, fate cruelly intervenes, leaving Eun-ho in a coma, caused by a car accident when driving with his long-lost mother, who died at the scene."
Spring of Youth (TV series),-,Kim Min-cheol,Kim Sung-yong,"Ha Yoo-joon, Park Ji-hu, Lee Seung-hyub, Seo Hye-won, Kim Seon-min","Teen, Romance",SBS TV,10,"May 6 –
July 2, 2025",2025,-,"The series tells about a K-pop singer, Sa-gye, who is forced to attend a university campus. Forming a four-member co-ed band, he finds passionate love and music."
Spring Turns to Spring,Spring Is Coming,-,Kim Sang-ho,"Lee Yu-ri, Uhm Ji-won, Lee Jong-hyuk, Choi Byung-mo","Fantasy, Comedy",MBC TV,32,"January 23 –
March 21, 2019",2019,-,"The story of two women whose souls switch bodies, giving them chance to live out their dreams and gain new experiences."
Spring Waltz,Endless Love: Spring Waltz,"Kim Ji-yeon, Hwang Da-eun, Gu Ji-won, Ha Mi-seon",Yoon Seok-ho,"Seo Do-young, Han Hyo-joo, Daniel Henney, Lee So-yeon","Romance, Melodrama",KBS2,20,"March 6 –
May 16, 2006",2006,-,"Yoon Jae-ha (Seo Do-young) is a wealthy young man who lives an honorable life as a gifted pianist. As a child, however, Jae-ha lived with his father who was a conman and endured a miserable childhood."
Spy (2015 TV series),-,"Han Sang-woon, Lee Kang",Park Hyun-suk,"Kim Jae-joong, Bae Jong-ok, Yu Oh-seong, Ko Sung-hee","Thriller, Action, Romance, Family",KBS2,16,"January 9 –
March 6, 2015",2015,-,"The fictional story begins after the execution of real-life North Korean general Jang Sung-taek. One day an order comes down from North Korea, reactivating erstwhile spy Park Hye-rim who has spent decades in South Korea as an ordinary housewife. She is given the mission to turn and bring in her own son, Kim Sun-woo. Cool-headed, quick-witted genius Sun-woo is an information analyst on North Korea working for the NIS. His girlfriend Yoon-jin is a tour guide for Chinese tourists who cannot speak Chinese, and they fell in love when Sun-woo helped her translate. Hye-rim is suddenly forced to choose between her son and country, and risks her life to see the choice through."
Spy Myung-wol,Myung-wol the Spy,Kim Eun-young,"Hwang In-hyuk, Kim Young-kyun","Han Ye-seul, Eric Mun, Lee Jin-wook","Romance, Drama, Action",KBS2,18,"11 July –
6 September 2011",2011,-,"Han Myung-wol is a North Korean spy who infiltrates the South under orders to kidnap popular hallyu actor Kang Woo, only to end up falling in love with him."
Squad 38,Tax Team 38,Han Jeong-hoon,Han Dong-hwa,"Ma Dong-seok, Seo In-guk, Choi Soo-young","Revenge, Crime",OCN,16,"June 17 –
August 6, 2016",2016,-,The story is about civil servant Baek Sung-il and his team who collect taxes from habitual tax evaders as well as delinquent taxpayers in cooperation with the fraudster Yang Jeong-do.
Squid Game,-,Hwang Dong-hyuk,Hwang Dong-hyuk,"Lee Jung-jae, Lee Byung-hun, Wi Ha-joon","Dystopian, Survival, Thriller, Drama",Netflix,22,"September 17, 2021 –
June 27, 2025","2021, 2025",-,"In South Korea, Seong Gi-hun, a divorced father and indebted gambling addict who lives with his elderly mother, is invited to play a series of children's games for a chance at a large cash prize. Accepting the offer, he is taken to an unknown location where he finds himself among 455 other players who are all in deep financial trouble. The players are made to wear green tracksuits and are kept under watch at all times by masked guards in pink jumpsuits, with the games overseen by the Front Man, who wears a black mask and black uniform. The players soon discover that losing a game results in their deaths, with each death contributing ₩100 million (US$76,600) to the potential ₩45.6 billion (US$34.92 million) grand prize. Gi-hun allies with other players, including his childhood friend Cho Sang-woo and North Korean defector Kang Sae-byeok, to try to survive the games' physical and psychological twists, while detective Hwang Jun-ho infiltrates the games as one of the guards to find his missing brother."
Stained Glass (TV series),"Stained Glass Window, Glass Picture, Glass Painting, Glass Flower",Park Hye-kyung,Lee Chang-soon,"Lee Dong-gun, Kim Ha-neul, Kim Sung-soo","Romance, Melodrama",Seoul Broadcasting System,18,"1 December 2004 –
3 February 2005","2004, 2005",-,"Dong-joo and Gi-tae were both abandoned by their parents as children. They grew up together in an orphanage and became best friends. After a family tragedy, Ji-soo was transferred to the orphanage where Gi-tae and Dong-joo were. Both boys fell for Ji-soo. One day while in the church, the three of them made a vow: Dong-joo and Gi-tae made a promise to take care of and protect Ji-soo in the absence of the other. While trying to retrieve the ocarina from the river, Dong-joo got caught in the current and was presumed drowned. In fact, Dong-joo was saved and later adopted by a rich, childless couple in Japan. 12 years later, Dong-joo returns to Korea as a Japanese gentleman by the name of Yuichi Yamamoto. His feelings towards Ji-soo start to develop, as his friendship with Gi-tae begins to unravel."
Stairway to Heaven (South Korean TV series),-,Park Hye-kyung,Lee Jang-soo,"Choi Ji-woo, Kwon Sang-woo, Shin Hyun-joon, Kim Tae-hee","Romance, Melodrama, Tragedy",SBS TV,20,"3 December 2003 –
5 February 2004","2003, 2004",-,"Han Jung-suh (Choi Ji-woo) and Cha Song-joo (Kwon Sang-woo) are childhood friends and have a special bond that blossoms into love. They both share the pain of losing a loved one: Song-joo's father died in a traffic accident and Jung-suh's mother died of eye cancer. Jung-suh's father (Ha Jae-young) marries an actress named Tae Mi-ra (Lee Hui-hyang), who brings her real daughter, Han Yoo-ri (Park Ji-Mi), and son, Han Tae-hwa (Lee Wan) into the household. Yoo-ri is jealous of Jung-suh, making her look terrible in front of her mother, who begins to turn on Jung-suh. When Jung-suh's father leaves for work, her stepmother assaults her. She thwarts Jung-suh's attempts to study abroad with Song-joo, who then leaves for America alone. Mi-ra plots for Yoo-ri to win the affections of Song-joo who is the heir of his family fortune. All the while, Jung-suh tries to be nice to Tae-hwa, but he mistakes her friendship for something more, and falls in love with her."
Standby (TV series),-,"Ki Seung-tae, Kim Yoon-hee, Lee Eun-young, Park Jae-hyun, Park Min-jung, Yang Seo-yoon",Jeon Jin-soo,"Ryu Jin, Lee Ki-woo, Ha Seok-jin, Claudia Kim, Jung So-min, Im Si-wan",Sitcom,Munhwa Broadcasting Corporation,113,"April 9 –
October 5, 2012",2012,-,-
Star in My Heart,Wish Upon a Star,Kim Ki-ho,"Lee Jin-suk, Lee Chang-hoon","Choi Jin-sil, Cha In-pyo, Ahn Jae-wook, Jeon Do-yeon",-,Munhwa Broadcasting Corporation,16,"10 March –
29 April 1997",1997,-,"Orphan Lee Yun-hee (Choi Jin-sil) is adopted into a hostile family environment. She harbors an undiscovered artistic talent, which helps to catapult her into the lives of two men. She was taken to her father's friend family, after her father died, although while his father's friend had warm feeling towards her she was met with hostility from her new stepmother (Park Won-sook) and her stepsister Ahn Yi-hwa (Jo Mi-ryung), who throughout the series are intriguing with against her. She becomes engaged in a relationship with a young, promising star Kang Min-hee (Ahn Jae-wook) a son of a rich businessman who's against his only son being a singer because it doesn't uphold to his values of a good occupation a man should be busy with. Lee Joon-hee (Cha In-pyo), who's a lead designer in one of the fashion houses, becomes a friend of Yun-hee and eventually helps her to make a career as a designer as well."
Star's Echo,-,Kim Yoon-jung,Kim Nam-won,"Jo Hyun-jae, Noriko Nakagoshi, Lee Da-hae, Lee Joon-gi, Tomoka Kurotani",Romance,"MBC
Fuji TV",2,"January 30, 2004",2004,-,"The story is centered on the love between a musically gifted South Korean man, Sung-jae (Jo Hyun-jae), and a Japanese woman, Misaki (Nakagoshi Noriko). Misaki, who feels guilty over her boyfriend's death, is transferred to Korean and meets Sung-jae who helps her cure her wounds of the past memories with love."
