Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
Kimcheed Radish Cubes,Just Love,Lee Deok-jae,Kwon Seok-jang,"Kim Seung-soo, Yoo Ho-jeong, Park Shin-hye",-,Munhwa Broadcasting Corporation,44,"August 18, 2007 –
January 27, 2008","2007, 2008",-,"Even though times change and our relationships with our family changes, our affection for them is timeless. The drama is about affection that is the foundation of family. Dong-jin is the eldest son in a family of 3 sons. He is dutiful and responsible but due to character clash, he has gone through divorce with his ex-wife, Ji-hye, whom he shares a child with. Dong-jin then starts a new romance with Eun-ho whom he works with. Jang Sa-ya is a girl that has grown up living in a secluded temple in the countryside. She meets and helps Park Jae-woo when he passes out in a forest nearby. He hangs her a card saying he would repay her if she ever goes to Seoul. As Sa-ya continues develops a curiosity of the world and wants to escape her ""monk"" life, her constant effort finally reaches an agreement with her guardian at the monastery. Her guardian tells her she has a father in Seoul, thus starting her venture to find her father. Along the way she meets some unfortunate events, and while searching for her father, Jae-woo soon falls for her."
Kimchi Cheese Smile,-,"Park Hye-ryun, Kim Yoon-hee, Kim Ki-ho, Lee Young-chul","Jeon Jin-soo, Kim Jun-hyeon",Shin Goo,"Sitcom, Drama, Mystery",MBC,121,"23 July 2007 –
18 January 2008","2007, 2008",-,-
Kimchi Family,"Fermented Family, Balhyo Family",Kim Ji-woo,Park Chan-hong,"Song Il-kook, Park Jin-hee, Lee Min-young, Choi Jae-sung","Romance, Comedy, Drama",JTBC,24,"September 2, 2011 –
June 8, 2012","2011, 2012",-,"Lee Kang-san (Park Jin-hee) and Lee Woo-Joo (Lee Min-young) are sisters who suddenly have to take over running their family's traditional kimchi restaurant Chunjiin (""Heaven, Earth, and Man"") after their father leaves without notice. The sisters must keep the restaurant going on their own, but they get some help from a troubled man, Ki Ho-tae (Song Il-gook), who shows up at the restaurant looking for his missing past. Ho-tae is an orphan who grew up to become a member of a crime syndicate, but he starts a new life as a worker at Chunjiin where he discovers the perks of having an excellent palate. Together with the other restaurant employees, long-time customers, and a growing circle of friends, they work towards their individual goals while finding warmth and family through their sharing of food and support of each other."
King of Ambition,"Yawang, King of the Beast, Queen of the Night",Lee Hee-myung,"Jo Young-kwang, Park Shin-woo","Kwon Sang-woo, Soo Ae, Jung Yun-ho, Kim Sung-ryung, Go Joon-hee","Melodrama, Romance, Action",SBS TV,24,"14 January –
2 April 2013",2013,-,"The name Ha Ryu means ""a child flown from heaven."" He was given this name by the nun who first found him in front of an orphanage; it came to her immediately the moment she saw his pure, innocent face. Ha Ryu's life began in earnest when he first laid eyes on Da-hae at the orphanage. Ha Ryu was a simple boy who disliked chores; however, for Da-hae, there was nothing he would not do or any place he would not go. Whenever Da-hae cried, Ha Ryu became too restless to do anything. But when Da-hae was adopted, they had to part."
King the Land,-,Choi Rom,Im Hyun-wook,"Lee Jun-ho, Im Yoon-ah",Romantic comedy,JTBC,16,"June 17 –
August 6, 2023",2023,-,"King the Land tells the story of Gu Won who is the heir of The King Group, a luxury hotel conglomerate, who was thrown into an inheritance war, and Cheon Sa-rang, a hotelier who always has a smile on her face till she meets Gu Won."
Kingdom (South Korean TV series),-,Kim Eun-hee,"Kim Seong-hun, Park In-je (Season 2)","Ju Ji-hoon, Bae Doona, Ryu Seung-ryong","Sageuk, Political drama, Action, Horror-thriller",Netflix,12 + 1 special,"January 25, 2019 –
July 23, 2021","2019, 2021",-,"Set during theJoseonDynasty, three years after theJapanese invasions, the story follows Crown Prince Lee Chang who, along with his subordinates, finds azombie plagueis ravaging the countryside amidst a brewing political conspiracy."
Kingmaker: The Change of Destiny,-,Bang Ji-young,Yoon Sang-ho,"Park Si-hoo, Ko Sung-hee, Sung Hyuk, Jun Kwang-ryul","Period drama, Folklore, Romance",TV Chosun,21,"May 17 –
July 26, 2020",2020,-,A story depicting a fierce struggle for the throne in Joseon.
Kiss Sixth Sense,-,Jeon Yu-ri,Nam Ki-hoon,"Yoon Kye-sang, Seo Ji-hye, Kim Ji-seok","Romantic fantasy, Romantic comedy",Disney+,12,"May 25 –
June 29, 2022",2022,-,"Hong Ye-sool, a woman who has the supernatural ability to see the future when she is kissed. One day, she accidentally kisses her boss, Cha Min-hoo, and sees their future together. Ye-sool's life gets more entangled when her ex-boyfriend, Lee Pil-yo, comes back into her life."
Kkondae Intern,Old School Intern,Shin So-ra,Nam Sung-woo,"Park Hae-jin, Kim Eung-soo",Comedy drama,MBC TV,24,"May 20 –
July 1, 2020",2020,-,"Kkondae Intern is an office comedy that depicts a man's delightful revenge on his previous boss, who was also his worst manager."
Knight Flower,-,"Lee Sam, Jeong Myung-in","Jang Tae-yoo, Choi Jung-in, Lee Chang-woo","Lee Hanee, Lee Jong-won, Kim Sang-joong, Lee Ki-woo","Period drama, Comedy, Action, Romance",MBC TV,12,"January 12 –
February 17, 2024",2024,-,"The series revolves around Jo Yeo-hwa, a widow who is the daughter-in-law of the most prestigious noble family in Joseon. She lives the quiet reclusive life of a noble widow at home during the day, but sneaks out of their house at night to help people in need."
Knock-Off (TV series),-,Han Jung-hoon,Park Hyun-seok,"Kim Soo-hyun, Jo Bo-ah","Black comedy, Crime drama",Disney+,-,-,-,-,"Kim Seong-jun, whose stable life as an ordinary office worker is shattered by the 1997 Asian financial crisis, transforming him into the king of the global counterfeit market as he navigates unemployment, steps into the shadowy world of counterfeiting, and rises to become the vice president of the notorious 'Saemmul Market'—a bustling hub of illicit trade—using his exceptional intellect, quick adaptability, and fierce ambition to dominate not just South Korea but the international counterfeit scene. His former lover, Song Hye-jeong, is a special judicial police officer tasked with cracking down on counterfeit goods, engaging him in a tense game of pursuit."
Kokdu: Season of Deity,-,"Kang Yi-heon, Heo Jun-woo","Baek Soo-chan, Kim Ji-hoon","Kim Jung-hyun, Im Soo-hyang, Kim Da-som, Ahn Woo-yeon, Kim In-kwon, Cha Chung-hwa","Fantasy, Romance",MBC TV,16,"January 27 –
March 24, 2023",2023,-,"The series is about a grim reaper named Kokdu (Kim Jung-hyun) who visits the mortal world every 99 years to punish humans. He meets Dr. Han Gye-jeol (Im Soo-hyang), a doctor with mysterious abilities, and starts working as a visiting doctor."
Korea–Khitan War,-,"Gil Seung-soo, Lee Jung-woo","Jeon Woo-sung, Kim Han-sol","Kim Dong-jun, Choi Soo-jong, Ji Seung-hyun","Sageuk, War drama, Action",KBS2,32,"November 11, 2023 –
March 10, 2024","2023, 2024",-,"The series tells the story of King Hyeonjong of Goryeo (Kim Dong-jun) uniting Goryeo under his tolerant leadership by leading the war against the Khitans to victory, together with Gang Gam-chan (Choi Soo-jong), the King's political mentor and the commander-in-chief of the Goryeo army."
Korean Peninsula (TV series),Hanbando,Yoon Sun-joo,Lee Hyung-min,"Hwang Jung-min, Kim Jung-eun","Political, Action, Romance, Drama",TV Chosun,18,"February 6 –
April 3, 2012",2012,-,"Seo Myung-joon is a South Korean scientist who falls in love with North Korean scientist Im Jin-jae while developing an alternative energy source together. But when Myung-joon unexpectedly becomes the president of a reunified Korea, political tensions rise as a massive struggle for limited natural resources continues to divide the country."
L.U.C.A.: The Beginning,-,-,Kim Hong-seon,-,"Crime, Action, Science fiction, Mystery",tvN,12,"February 1 –
March 9, 2021",2021,-,"Zi O (Kim Rae-won) has a special power and a secret, but he doesn't know who he really is. He is chased by mysterious figures while he tries to find answers to numerous questions that surround him."
Lady Cha Dal-rae's Lover,-,Choi Soon-sik,Ko Yang-tak,"Ha Hee-ra, Ahn Sun-young, Ko Eun-mi",Family,KBS2,100,"September 3, 2018 –
January 18, 2019","2018, 2019",-,This is a drama which tells the life of three middle-aged woman who graduated from the same high school.
Land of Gold,"Golden Land, Gold Land",Lee Seon-hee,Shin Hyun-soo,"Kang Ye-sol, Kang Eun-tak, Baek Seung-hee, Lee Byung-hoon","Romance, Family",KBS2,163,"6 January –
22 August 2014",2014,-,"Land of Gold (Korean: TV소설 순금의 땅; RR: TVsoseol sungeumui ttang) is a 2014 South Korean morning soap opera broadcast by KBS2 starring Kang Ye-sol, Kang Eun-tak, Baek Seung-hee and Lee Byung-hoon. It premiered on January 6, 2014, airing from Mondays to Fridays at 9:00 a.m. for 163 episodes."
Land of Wine,-,-,-,"Kim Jaewon, Kim Min-jung, Choi Kang-hee, Lee Dong-wook",Drama,SBS,16,"April 9 –
May 29, 2003",2003,-,"In a place far from the town lived a boy and a girl. The girl's name was Lee Sun-hee. Her grandfather and father were selling traditional wine to earn money. They produce their own wine in a small shop. The boy's name was Suh Joon (Kim Jae Won). His parents, and Sun-hee's father and grandfather lived together."
Landscape in My Heart,-,Park Jin-suk,Han Jeong-hye,"Heo Young-ran, Kim Cheol-ki, Park Mun-su, Im Yeo-won",-,KBS,-,"April 30 –
November 9, 2007",2007,-,"The show is set in a boarding house in the 1960s and 1970s and is about a woman named Han Soo-ryun (Heo Young-ran) who breaks up with her high school lover Park Dong-hyek, before realizing that she is pregnant with a baby girl, later named Bobae. Soo-ryun later marries Wo Jong-ku who cares for her more than Dong-hyek; a problem arises when she finds out that Bobae is her daughter."
Last (TV series),-,Han Ji-hoon,Jo Nam-kook,"Yoon Kye-sang, Lee Beom-soo, Seo Yea-ji, Park Ye-jin, Park Won-sang","Crime, Action, Thriller, Drama",jTBC,16,"July 24 –
September 12, 2015",2015,-,"Jang Tae-ho (Yoon Kye-sang) is a successful fund manager whose seemingly fool-proof financial deal goes horribly awry, leading to a loss of ₩35 billion and his business partner's death. In desperate straits, Tae-ho goes on the run from loan shark gangsters and descends into the underbelly of Seoul. He discovers a secret society of homeless people living inside Seoul Station, one that has its own strict hierarchy and rules. Tae-ho vows to find out what went wrong with his deal, claw himself up from rock bottom, and get his life back."
Last Scandal,"My Life's Last Scandal, Last Romance",Moon Hee-jung,Lee Tae-gon,"Choi Jin-sil, Jung Joon-ho","Romance, Comedy, Drama",MBC TV,16,"March 8 –
April 27, 2008",2008,-,"Hong Sun-hee (Choi Jin-sil) is a 39-year-old housewife facing extreme financial difficulties due to her husband Ahn Yoo-shik's (Kim Byung-se) mounting debt. One day, Yoo-shik disappears, leaving Sun-hee to take care of the household. She later learns that he has married a rich woman. Now a single divorced mother with a thirteen-year-old daughter, Sun-hee runs into top actor Song Jae-bin (Jung Joon-ho) at a commercial shoot, and he turns out to be none other than her first boyfriend, Jang Dong-chul. Sun-hee was once the prettiest girl in high school, but in the years since she has let herself go and is now a middle-aged, plain-looking housewife, which is why Jae-bin doesn't recognize her at first. Greatly disappointed to find his first love so much changed, the egoistic, self-absorbed actor tries to avoid her. But the famous star is not without problems, either. To maintain his popularity, he deceives people about his age, background, history and even his name. Little wonder he is embarrassed to meet Sun-hee again, who knows all about his past. But Jae-bin's feelings change when Sun-hee moves into his home as a housekeeper and nanny to his nephew Hoon, son of his older brother and manager Dong-hwa (Jung Woong-in) and estranged from the boy's mother, Lee Na-yoon (Byun Jung-soo). At first alternately ignoring and teasing her, Jae-bin finds himself growing jealous when Sun-hee gets along with Dong-hwa, who unlike him, is gentle, kind and mature. Reminiscing about the good old days, Jae-bin recalls how beautiful Sun-hee was when they fell in love with each other 20 years ago. And in the present, he feels happy and relaxed with her, since he can be perfectly honest in front of her as an ordinary man, not as a famous actor who has to put on a show for the public. Thus, Jae-bin falls in love with Sun-hee all over again. He tries to show her in little ways: by having a hairstylist straighten out her unflattering perm into a stylish bob cut, buying her some nice clothes, and even paying for her laser eye surgery so that she'll be able to take off her thick, horn-rimmed glasses. But more than restoring her outer beauty, he also hopes to heal her emotional scars."
Late Night Restaurant,Midnight Diner,"Choi Dae-woong, Hong Yoon-hee",Hwang In-roe,Kim Seung-woo,"Mystery, Slice of life, Food",Seoul Broadcasting System,20,"July 4 –
September 5, 2015",2015,-,"A restaurant opens at midnight until seven in the morning. Its mysterious owner and chef, simply called the 'Master', has no fixed items on his menu, but will take orders from any customer and cook up whatever they ask for. As the Master cooks, his customers tell him their life stories."
Law and the City,-,Lee Seung-hyun,Park Seung-woo,"Lee Jong-suk, Moon Ga-young, Kang You-seok, Ryu Hye-young, Im Seong-jae",Legal drama,tvN,12,"July 5 –
August 10, 2025",2025,-,"Ahn Joo-hyung, Kang Hee-ji, Jo Chang-won, Bae Moon-jung, and Kang Sang-ki are labeled as the five members of the ""Associate Lawyers Avengers"" share their precious lunch breaks together and work at Seochodong Judicial Town."
Law School (TV series),-,Seo In,Kim Seok-yoon,"Kim Myung-min, Kim Bum, Ryu Hye-young, Lee Jung-eun",Legal drama,JTBC,16,"April 14 –
June 9, 2021",2021,-,"Set in Hankuk University Law School, the series tells the story of students and professors who come across an unusual case. A professor at a prestigious law school and his students get involved in an unprecedented case. It is a drama about the process of prospective lawyers realizing authenticity, law, and justice."
Lawless Lawyer,Lawless Attorney,Yoon Hyun-ho,Kim Jin-min,"Lee Joon-gi, Seo Yea-ji, Lee Hye-young, Choi Min-soo","Legal, Thriller",tvN,16,"May 12 –
July 1, 2018",2018,-,"An adult Sang-pil leaves his lucrative practice in Seoul and returns to Kisung to bring those responsible for his mother's death to justice. He takes over a loan shark business and converts it into the Lawless Law Firm. Jae-yi, who has been suspended from practicing law after assaulting a judge, loses her job, and also returns home to Kisung. She soon ends up working for Sang-pil, and later becomes his partner when reinstated as a lawyer. After learning the truth about Moon-sook, she joins Sang-pil in his pursuit of justice for the wrong done to their mothers. Together, they use the law to fight against Moon-sook and her associates. Over time, they fall in love."
Lawyers (TV series),-,Jeong Seong-joo,Lee Tae-gon,"Jung Hye-young, Kim Sang-kyung, Kim Sung-soo, Han Go-eun","Romance, Thriller",MBC TV,16,"July 4 –
August 23, 2005",2005,-,"After the accident of Ju-hee's parents, her relationship with her boyfriend, Yoon Seok-ki, has to be ended suddenly. Ju-hee works as Seo Jeong-ho's secretary, and Seok-ki continues his studies in the US. After five years of being separated, they meet each other again in a law firm. Seok-ki begins working there, with Yang Ha-young as his secretary. It is here where the conflict between all of them begins."
"Lee San, Wind of the Palace",Yi San,Kim Yi-young,Lee Byung-hoon,"Lee Seo-jin, Han Ji-min",Historical,MBC TV,77,"September 16, 2007 –
July 2, 2008","2007, 2008",-,"The series dramatizes the life of Korea's King Jeongjo, the 22nd ruler of the Joseon Dynasty. Jeongjo is remembered in Korean history for his sympathy with the plight of the common man, in spite of his own pampered upbringing as royalty."
Left-Handed Wife,Lefty Wife,Moon Eun-ah,Kim Myeong-wook,"Lee Soo-kyung, Kim Jin-woo",Melodrama,KBS2,103,"January 2 –
May 31, 2019",2019,-,"Left-Handed Wife (Korean: 왼손잡이 아내; RR: Oensonjabi anae) is a 2019 South Korean television series starring Lee Soo-kyung and Kim Jin-woo. It aired from January 2 to May 31, 2019 on KBS2. It is also the first KBS daily drama not to premiere on a Monday."
Legal High (South Korean TV series),-,Park Seong-jin,Kim Jung-hyun,"Jin Goo, Seo Eun-soo, Yoon Park","Legal drama, Comedy",JTBC,16,"February 8 –
March 30, 2019",2019,-,The series tells the story of two completely different lawyers who end up working together to win court cases for their clients.
Legend of Hyang Dan,Hyangdan,-,Kim Sang-ho,"Seo Ji-hye, Choi Siwon",-,MBC,2,"September 3 –
September 4, 2007",2007,-,"A ""what if"" parody of Legend of Chun Hyang, based on the classic Korean story Chunhyangga. What if Lee Mong-ryong fell in love with the servant girl Hyang-dan instead of Chun-hyang?"
Legend of the Patriots,Comrades,"Lee Eun-sang, Kim Pil-jin","Kim Sang-hwi, Song Hyun-wook",-,-,KBS2,20,"19 June –
22 August 2010",2010,-,"The series begins with the ROK Army crossing of the 38th parallel while UN planes begin bombing Pyongyang, the capital of North Korea. The Korean People's Army (KPA) begins a fighting withdrawal from the city. Sergeant First Class Lee Hyun-joong (Choi Soo-jong) leads his squad forward into the city and not long afterwards the Republic of Korea Army (ROKA) captures the capital. Major General Yong Park (Lee Deok-hwa) is elated by his Division's involvement in capturing the Communist stronghold."
Less Than Evil,Luther,"Heo Joon-woo, Kang Yi-hun",Kim Dae-jin,"Shin Ha-kyun, Lee Seol, Park Ho-san, Kim Gun-woo","Crime, Detective, Thriller",MBC TV,32,"December 3, 2018 –
January 29, 2019","2018, 2019",-,"The drama centers on the ongoing psychological battle between a brilliant psychopathic murderer and a hot headed, justice-driven Detective Chief Inspector."
Let Me Be Your Knight,-,"Seo Jeong-eun, Yoo So-won",Ahn Ji-sook,"Jung In-sun, Lee Jun-young, Jang Dong-joo, Kim Dong-hyun, Kim Jong-hyun, Yoon Ji-sung","Romantic comedy, Musical",SBS TV,12,"November 7, 2021 –
January 24, 2022","2021, 2022",-,"This series follows the lead singer of a popular idol band Luna, Yoon Tae-in who suffers from sleepwalking. To cure his condition secretly, he seeks help from a live-in doctor In Yoon-ju to cure his condition."
Let Me Introduce Her,-,Park Un-hee,Park Gyung-ryeol,"Nam Sang-mi, Kim Jae-won, Jo Hyun-jae","Mystery, Thriller, Romance",SBS TV,40,"July 14 –
September 29, 2018",2018,-,"The story of Ji Eun-han who loses her memory after undergoing plastic surgery to assume another identity, and searches for memories to find out who she was."
Let's Eat (TV series),-,"Im Soo-mi, Jun Ji-hyun, Jo Yoon-kyung, Kim Hyo-shin, Lee Ye-rim","Park Joon-hwa, Im Se-bin, Im Young-jin, Kim Bo-yeon, Seo Min-jung, Kim Gye-young, Park Min-hyun, Choi Min-sun, Kim Se-hee","Lee Soo-kyung, Yoon Doo-joon, Shim Hyung-tak, Yoon So-hee","Romance, Comedy, Thriller",tvN,16,"November 28, 2013 –
March 13, 2014","2013, 2014",-,"Four single people, happily divorced paralegal Lee Soo-kyung (Lee Soo-kyung), mysterious gourmand Goo Dae-young (Yoon Doo-joon), design student and former rich girl Yoon Jin-yi (Yoon So-hee), and petty lawyer Kim Hak-moon (Shim Hyung-tak), all enjoy living alone, except for that pesky problem that dining out is not designed for one. At Jin-yi's request, she, Soo-kyung and Dae-young start eating out together and thus get involved in each other's lives. Let's Eat depicts the daily life and romance of a single woman when a murder case occurs in her neighborhood. Lee Soo-Kyung is a 33-year-old single woman. She divorced when she was in her 20's and now lives alone. She always wants to carry herself with dignity, but she loses self-control when she is near gourmet foods. Koo Dae-Young is a gourmet who is especially talented with describing the taste of foods. He often lies when he opens his mouth, but he is usually considerate of others."
Let's Eat 2,-,Im Soo-mi,Park Joon-hwa,"Yoon Doo-joon, Seo Hyun-jin, Kwon Yul","Romance, Comedy",tvN,18,"April 6 –
June 2, 2015",2015,-,"The series is about Goo Dae-young (Yoon Doo-joon), an insurance salesman, moving to the small town Sejong from the big city Seoul. He meets Baek Soo-ji (Seo Hyun-jin), who is his next door neighbour. They befriend each other quickly and make a contract while Soo-ji chases the love of her life, Lee Sang-woo (Kwon Yul)."
Let's Eat 3,Let's Eat: Begins,Im Soo-mi,Choi Gyu-sik,"Yoon Doo-joon, Baek Jin-hee","Slice-of-life, Romance",tvN,14,"July 16 –
August 28, 2018",2018,-,"Goo Dae-young has fallen into a slump in his thirties. In order to heal his wounds, he embarks on a journey to revisit the food that he loved in his twenties with former college classmate Lee Ji-woo, and the two not only share their meals but also relive their memories of the past."
Level Up (South Korean TV series),-,Kim Dong-gyu,Kim Sang-woo,"Sung Hoon, Han Bo-reum, Cha Sun-woo, Kang Byul, Danny Ahn",Romantic comedy,"MBN
Dramax",12,"July 10 –
August 15, 2019",2019,-,"An Dan-Te is a director at Yoosung CRC, which specializes in restructuring companies. He does not express his feelings and he is a perfectionist at work. He seems cold-blooded. To save the game company Joybuster from bankruptcy, An Dan-Te is sent there and begins to work as their new CEO."
Leverage (South Korean TV series),Leverage: Fraud Control Operation,Min Ji-hyung,Nam Gi-hoon,"Lee Dong-gun, Jeon Hye-bin, Kim Sae-ron, Kim Kwon, Yeo Hoe-hyun","Crime, Drama",TV Chosun,16,"October 13 –
December 8, 2019",2019,-,"The series follows the story of Lee Tae-joon, a former insurance investigator who forms a team of thieves and con artists to target the rich and wealthy. The team was also formed to avenge Tae-joon's son's death."
Liar Game (2014 TV series),-,Ryu Yong-jae,Kim Hong-sun,"Kim So-eun, Lee Sang-yoon, Shin Sung-rok","Mystery, Thriller",tvN,12,"October 20 –
November 18, 2014",2014,-,"Nam Da-jung (Kim So-eun) is an innocent college student who passes a hidden camera audition and is invited to join the reality show Liar Game, a psychological survival game wherein participants trick each other and the one who ultimately succeeds wins the prize money of ₩10 billion (US$9.3 million). Tempted by the chance to pay off her debts, Da-jung joins the game and gets conned out of the initial money given to her. In desperation, she asks genius ex-con swindler and former psychology professor Ha Woo-jin (Lee Sang-yoon) to help her win the game."
Lie After Lie,-,Kim Ji-eun,Kim Jung-kwon,"Lee Yu-ri, Yeon Jung-hoon","Revenge, Mystery, Romance",Channel A,16,"September 4 –
October 24, 2020",2020,-,"Ji Eun-soo is the daughter-in-law of a chaebol family who appears to have everything. Her life falls apart when she is accused of murdering her abusive husband and sentenced to ten years in prison. While in prison, she gives birth to a baby girl, but is forced to place her into adoption. She and her father reach out to Kang Ji-min, a journalist who suspected foul play behind Eun-soo's case and the only one willing to hear Eun-soo's side of the story. However, after a while, her letters to Ji-min are mysteriously returned, while her father is later killed in a hit-and-run accident right before meeting Ji-min. Ji-min is also sent on an overseas assignment just as he gets closer to the truth. A determined Eun-soo tracks down her daughter upon her release and, in doing so, uncovers a complex web of lies and betrayal beginning with her former mother-in-law, CEO and respected businesswoman Kim Ho-ran."
Lie to Me (2011 TV series),-,Kim Ye-ri,"Kim Soo-ryung, Kwon Hyuk-chan","Kang Ji-hwan, Yoon Eun-hye, Sung Joon, Jo Yoon-hee","Romance, Comedy, Drama",SBS (South Korea),16,"9 May –
28 June 2011",2011,-,"Gong Ah-jung (Yoon Eun-hye) is a government employee of the Ministry of Culture, Sports and Tourism. At the beginning of the series, Ah-jung lies to an antagonistic friend about being married to not lose face in front of her. The lie quickly snowballs (due to several misunderstandings) until Ah-jung realizes that everyone is gossiping about her supposed, secret marriage to Hyun Ki-joon (Kang Ji-hwan), the wealthy president of World Hotel."
Lies Hidden in My Garden,-,Gianni,"Jung Ji-hyun, Heo Seok-won","Kim Tae-hee, Lim Ji-yeon, Kim Sung-oh, Choi Jae-rim","Suspense thriller, Mystery",ENA,8,"June 19 –
July 11, 2023",2023,-,The series follows the story of a woman named Moon Joo-ran (Kim Tae-hee) whose perfectly crafted life gets disturbed by a strange smell in her backyard.
Life (South Korean TV series),-,Lee Soo-yeon,"Hong Jong-chan, Im Hyun-wook","Lee Dong-wook, Cho Seung-woo, Won Jin-ah",Medical drama,JTBC,16,"July 23 –
September 11, 2018",2018,-,"At one of South Korea's top medical centers, ideals and interests collide between a patient-centered emergency medicine doctor and the hospital's newly-appointed CEO."
Life Is Beautiful (2010 TV series),Beautiful Life,Kim Soo-hyun,Jung Eul-young,"Song Chang-eui, Lee Sang-woo, Lee Sang-yoon, Nam Sang-mi","Romance, Drama, Family",SBS TV,63,"20 March –
7 November 2010",2010,-,"Set in Jeju, the drama revolves around a loving, multi-generation family led by the parents Yang Byung-tae (Kim Yeong-cheol) and Kim Min-jae (Kim Hae-sook), and their four children Tae-sub (Song Chang-eui), Ji-hye (Woo Hee-jin), Ho-sub (Lee Sang-yoon) and Cho-rong (Nam Gyu-ri), as well as assorted grandparents and uncles. The story follows the family's everyday lives and conflicts, including oldest daughter Ji-hye's marital problems with her husband Soo-il (Lee Min-woo); younger son Ho-sub's pursuit of his mother's assistant, Yeon-joo (Nam Sang-mi); and oldest son Tae-sub's romantic pairing with divorced professor Kyung-soo (Lee Sang-woo), whose homosexual relationship their families react to while addressing issues of personal, social, and familial acceptance, leading to, finally, love and understanding."
Life on Mars (South Korean TV series),-,-,Lee Jung-hyo,"Jung Kyung-ho, Park Sung-woong, Go Ah-sung, Oh Dae-hwan, Noh Jong-hyun","Police procedural, Crime drama, Time travel",OCN,16,"June 9 –
August 5, 2018",2018,-,"Han Tae-joo (Jung Kyung-Ho) leads a crime investigation team. He has experienced a rapid rise in his career and he trusts data over people. While investigating a serial murder case, he has an accident. When Han Tae-joo wakes up, he finds himself in 1988. He does not know why, but he is now a detective appointed to work at a police station in a small city. To get back to the present day, Han Tae-joo tries to solve a serial murder case."
Light on Me,-,Lee Ji-eum,Lee Yoo-yeon,"Lee Sae-on, Kang You-seok, Choe Chan-yi, Go Woo-jin","Teen romance, Coming-of-age","KokTV
WATCHA
Viki
WeTV
AbemaTV",16,"June 29 –
August 19, 2021",2021,-,"Woo Tae-kyung is an 18-year-old Korean average boy who has no friends. One day, his teacher approaches him in order to help him. He suggests Tae-kyung join the school's student council. The task is not easy, since one of the members is Noh Shin-woo, who resents him for a previous encounter. The president of the council, though, is very receptive, and tries to make Tae-kyung and Shin-woo get along. The council is also formed by Namgoong Shi-won, an extroverted humorous guy who also makes an effort so Tae-kyung properly joins them. Tae-kyung, with his new set of friends, proceeds to enjoy his new social life, and starts questioning if he may or may not like one of his fellow council members."
Light Shop,Lightshop Keeper,Kang Full,Kim Hee-won,"Ju Ji-hoon, Park Bo-young, Kim Seol-hyun, Bae Seong-woo, Uhm Tae-goo, Lee Jung-eun, Kim Min-ha, Park Hyuk-kwon, Kim Dae-myung, Shin Eun-soo, Kim Sun-hwa, Kim Ki-hae","Mystery, Horror",Disney+,8,"December 4 –
December 18, 2024",2024,-,"The series follows the story of a group of strangers who are all having a hard time processing a horrible experience from their past. Each of them is going about their normal lives when they are all strangely pulled to a light shop located at the end of a dubious alleyway. A cautious shopkeeper guards the light shop, which may contain the key to the strangers' pasts, present, and futures."
Lights and Shadows (TV series),Light and Shadow,Choi Wan-kyu,Lee Joo-hwan,"Ahn Jae-wook, Nam Sang-mi, Lee Pil-mo, Son Dam-bi","Romance, Drama, Musical, Period drama",Munhwa Broadcasting Corporation,64,"November 28, 2011 –
July 3, 2012","2011, 2012",-,It tells the story of Kang Ki-tae who came from a wealthy family and became the first national entertainer during the Vietnam War in the 1970s and 1980s.
Like Flowers in Sand,Sand Flower,Won Yoo-jung,Kim Jin-woo,"Jang Dong-yoon, Lee Ju-myoung, Yoon Jong-seok, Kim Bo-ra, Lee Jae-joon, Lee Joo-seung","Coming-of-age, Romantic comedy, Sports drama",ENA,12,"December 20, 2023 –
January 31, 2024","2023, 2024",-,"Kim Baek-doo (Jang Dong-yoon) is a ssireum player considering to retire from the sport. However, his life takes a turn when he reunites with his childhood friend Oh Yoo-kyung (Lee Ju-myoung), who becomes the management team leader for his ssireum team. The team is on the verge of disbanding, but with the help of people like Min Hyun-wook (Yoon Jong-seok) and Joo Mi-ran (Kim Bo-ra), as well as the new coach Kwak Jin-soo (Lee Jae-joon) and Baek-doo's best friend Jo Seok-hee (Lee Joo-seung), they work together to save the team."
Likeable or Not,-,"Kim Sa-kyung, Choi Hyung-ja",Lee Duk-gun,"Han Ji-hye, Kim Ji-seok","Romance, Drama","KBS1 (2007–2008)
Indosiar (2011–2013)
B-Channel (2013–2015)
NET. (29 August 2022-present)",175,"September 1, 2006 –
June 2, 2007","2006, 2007",-,"Baek-ho and Dan-poong first meet during Dan-poong company food testing at a mart. They continue to run into each other in various farcical situations. Baek-ho eventually starts working in the marketing department of Bonjour Foods, where Dan-poong is his superior. At first, she is exasperated by his inexperience, but is eventually impressed by his work ethic and innovative ideas."
Line Romance,Love Line,"Kim Mi-sook, Jang Seon-ah","Choi Jong-soo, Jang Soo-bong","Lee Min-ho, Kuo Bea-ting",Miniseries,iQiyi,3,"9 May –
16 May 2014",2014,-,Min-ho (Lee Min-ho) is a musician who met Ling Ling (Bea Hayden) on his walk and got inspired to write a new song. He then made a silly mistake by sending her a text message saying he loved her.
