title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
Gyebaek (TV series),"Gyebaek, Warrior's Fate","Set in the Baekje kingdom in the mid-7th century, the drama chronicles the life and times of the storied warrior great General Gyebaek who is remembered in history for leading Baekje's last stand against the Silla in the Battle of Hwangsanbeol. Gyebaek dies at the final battle with Silla kingdom.",Munhwa Broadcasting Corporation,,"Historical, Action",,,"July 25 –
November 22, 2011",,"Lee Seo-jin, Cho Jae-hyun, Song Ji-hyo, Oh Yeon-soo",Kim Geun-hong,Jung Hyung-soo,36,2011,-
Gyeongseong Creature,K Project,"In the spring of 1945 in Gyeongseong, during theJapanese occupation of Korea, Jang Tae-sang, the master of the city's most lucrative pawnshop, and Yoon Chae-ok, a tracker searching for her missing mother, confront a strange creature born from biological experiments conducted in secret within Ongseong Hospital.",Netflix,,"Historical drama, Suspense, Mystery, Horror, Thriller, Action",,,"December 22, 2023 –
September 27, 2024",,"Park Seo-joon, Han So-hee, Claudia Kim, Lee Moo-saeng, Bae Hyun-sung",Kang Eun-kyung,"Chung Dong-yoon, Roh Young-sub (season 1), Jo Yeong-min (season 2)",17,"2023, 2024",-
H.I.T (TV series),-,"Tough, sharp-shooting, and just a bit unkempt, Cha Soo-kyung (Go Hyun-jung) is the leader of Investigation Team 1 at the Seoul Metropolitan Police Agency. She is haunted by her failure, years ago, to catch a serial killer who wound up murdering her fiancé and escaping. When a new serial killer whose crimes resemble the old killer's surfaces in Seoul, Cha is appointed as the first female detective to head H.I.T, the Homicide Investigation Team, charged with capturing the murderer. Soo-kyung's work is her life, and she is most comfortable when she is with her team. Because of her determination and work ethic, she immediately clashes with newly appointed D.A. Kim Jae-yoon (Ha Jung-woo) from the Prosecutor's Office who was assigned to work for H.I.T. Jae-yoon is a laid-back playboy whose greatest priority is to enjoy life. Despite their differences and personal conflicts, the two make a surprisingly formidable crime-fighting duo, and slowly realize that they have a lot to learn from each other. Soo-kyung must overcome her past and her grief for her dead boyfriend, and come to terms with her feelings for Jae-yoon.",Munhwa Broadcasting Corporation,,Procedural drama,,,"March 19 –
May 22, 2007",,"Go Hyun-jung, Ha Jung-woo, Kim Jung-min, Yoon Ji-min","Kim Young-hyun, Park Sang-yeon","Yoo Chul-yong, Kim Young-min",20,2007,-
Haechi (TV series),-,"Set during the Joseon dynasty period, the series follows four people from different walks of life who come together to help Yi Geum, Prince Yeoning (later King Yeongjo) claim the throne and reform the Saheonbu.",SBS TV,,"Historical period, Adventure",,,"February 11 –
April 30, 2019",,"Jung Il-woo, Go Ara, Kwon Yul, Park Hoon",Kim Yi-young,Lee Yong-suk,48,2019,-
Han River Police,-,"Late at night, after completing a rescue operation and returning to the precinct, Doo-jin spots Ki-seok conducting suspicious work on a stranded cruise ship, trying to evade the eyes of the police. Sensing something fishy, Doo-jin begins to track his movements.",Disney+,,Action comedy,,,"September 13 –
September 27, 2023",,"Kwon Sang-woo, Kim Hee-won, Lee Sang-yi, Bae Da-bin, Shin Hyun-seung, Sung Dong-il",Kim Sang-cheol,Kim Sang-cheol,6,2023,-
Happiness (South Korean TV series),Infectious Smile,"Happinesstakes place in the near future, where the release of a failed treatment drug ""Next"" has caused a worldwide pandemic known as the Lytta Virus, a.k.a. ""mad person disease"". Those infected by Lytta experience short bouts of insanity and bloodlust, before completely regressing into azombie-like state. The South Korean Military and Police forces try to contain the spread of Lytta and Next through extensive investigation and authoritative quarantine measures, while civil rights groups protest against them, believing the infected are still capable of normal human interaction.",tvN,,Thriller,,,"November 5 –
December 11, 2021",,"Han Hyo-joo, Park Hyung-sik, Jo Woo-jin",Han Sang-woon,Ahn Gil-ho,12,2021,-
Happiness in the Wind,"Good Days When the Wind Blows, Windy But Pleasant Day, Fine Windy Day","Leading the cast is Kwon Oh-bok (Kim So-eun - in her first ever leading role in a drama series), a talented 19-year-old girl who aspires to be a recognized illustrator and allows herself very little in terms of being swayed by any trials or tribulations. Wanting to find her father who abandoned her when Oh-bok's mother had died 10 years earlier, she heads to Seoul where she earns a living selling her handmade merchandise out of a street-side stall. Very soon, she clashes with Jang Dae-han (Jin Yi-han), an irascible but lonely-at-heart man who also happens to be the head designer for Well-Being Dairy, one of South Korea's largest dairy product companies; incidentally it is also here where Oh-bok later succeeds in gaining employment as an illustrator. Their chance meeting initiates an ""ongoing battle"" which eventually unfolds into a somewhat love triangle between them and her old hometown oppa, Ki-chul (Kang Eun-tak).",KBS1,,"Romance, Family, Drama, Comedy",,,"February 1 –
October 1, 2010",,"Kim So-eun, Jin Yi-han",Lee Duk-jae,Lee Duk-gun,173,2010,-
Happy Ending (TV series),-,The series revolves around Kim Doo-soo (Choi Min-soo)'s family after he learns that he is terminally ill.,JTBC,,Drama,,,"April 23 –
July 16, 2012",,"Choi Min-soo, Shim Hye-jin, Lee Seung-yeon",Kim Yoon-jung,"Kwak Young-bum, Shin Yoon-sun",24,2012,-
Happy Home (TV series),Bong's Happy Restaurant,"Happy Home (Korean: 가화만사성; RR: Gahwamansaseong) is a 2016 South Korean television series starring Kim Yeong-cheol, Won Mi-kyung, Kim So-yeon, Lee Sang-woo and Lee Pil-mo. It aired on MBC every Saturdays to Sundays at 20:45 (KST) for 51 episodes from February 27 to August 21, 2016.",MBC,,"Family, Romantic drama",,,"February 27 –
August 21, 2016",,"Kim Yeong-cheol, Won Mi-kyung, Kim So-yeon, Lee Sang-woo, Lee Pil-mo",Jo Eun-jeong,"Lee Dong-yoon, Kang In",51,2016,-
Happy Sisters,-,A TV series depicting how women who live in our times are searching for their identity through beautiful and intense love.,SBS TV,,"Family, Melodrama",,,"December 4, 2017 –
May 25, 2018",,"Shim Yi-young, Han Young, Oh Dae-gyu, Kang Seo-joon, Lee Shi-kang, Ban So-young",Han Young-mi,-,120,"2017, 2018",-
Happy Together (South Korean TV series),-,"After the tragic death of their parents, the lives of five siblings are irrevocably changed when they are separated. Now grown up, Seo Tae-poong (Lee Byung-hun) is a professional baseball player. Longing to bring his family back together, the kind-hearted Tae-poong has been searching his whole life for his brother and three sisters.",SBS TV,,"Drama, Family, Romance",,,"June 16 –
August 5, 1999",,"Lee Byung-hun, Song Seung-heon, Kim Ha-neul, Jo Min-su, Kang Sung-yeon, Jun Ji-hyun, Cha Tae-hyun",Bae Yoo-mi,Oh Jong-rok,16,1999,-
He Is Psychometric,Psychometric Fellow,"After losing his parents in a fire, Lee Ahn (Park Jin-young) acquires the power of psychometry, the ability to read a person or an object's past through physical contact, and he decides to use it to combat criminals. While he does not know how to control his power yet, he meets Yoon Jae-in (Shin Ye-eun) who tries her best to hide her painful secrets. Together with his foster guardian, prosecutor Kang Sung-mo (Kim Kwon), and the latter's colleague, investigator Eun Ji-soo (Kim Da-som), they team up to solve an elusive case that has been haunting the lives of Ahn, Sung-mo, and Jae-in. The case revolves around the life of prosecutor Kang, and his parents who were the main cause of fire. Jae-in and Lee Ahn heal each other through their past, present, and future to find the culprit.",tvN,,"Fantasy, Thriller, Mystery, Procedural, Romantic comedy",,,"March 11 –
April 30, 2019",,"Park Jin-young, Shin Ye-eun, Kim Kwon, Kim Da-som",Yang Jin-ah,Kim Byung-soo,16,2019,-
He Who Can't Marry (South Korean TV series),"The Man Who Can't Get Married, The Man Who Can't Get Hitched","Architect Jae-hee (Ji Jin-hee) has the looks and the money, but he's over forty and still a bachelor. Despite being great marriage material on paper, his blunt personality and precise lifestyle turn women off. Jae-hee just can't seem to get married—until he meets his equal, single 40-year-old doctor Moon-jung (Uhm Jung-hwa), who spends most of her time at work doing overtime and covering for colleagues. Romance may be in the air yet for the unmarriageable Jae-hee, but there's also his longtime colleague Ki-ran (Yang Jung-a) and young neighbor Yoo-jin (Kim So-eun) to consider.",Korean Broadcasting System,,-,,,"June 15 –
August 4, 2009",,"Ji Jin-hee, Uhm Jung-hwa, Kim So-eun, Yoo Ah-in, Yang Jung-a",Yeo Ji-na,Kim Jung-gyu,16,2009,-
Head over Heels (South Korean TV series),Gyeonwoo and Fairy,"A fantasy romance drama, the story revolves around Seong-ah, a shaman who knows what will happen in the future, trying to protect her first love, Bae Gyeon-woo, by changing his ill-fated fate.",tvN,,Romantic fantasy,,,"June 23 –
July 29, 2025",,"Cho Yi-hyun, Choo Young-woo, Cha Kang-yoon, Choo Ja-hyun",Yang Ji-hoon,Kim Yong-wan,12,2025,-
Heading to the Ground,-,"The drama about a man trying to achieve what is thought to be impossible: fulfilling his dreams of being a great soccer player. He meets Kang Hae Bin, a sports agent who tries to live her life away from the influence of her rich father.",MBC,,"Sports, Comedy",,,"September 9 –
November 4, 2009",,"Jung Yun-ho, Go Ara, Lee Yoon-ji, Lee Sang-yoon",-,-,16,2009,-
Healer (TV series),-,"A decades-old incident involving a group of five friends who ran an illegal pro-democracy broadcasting station during the Fifth Republic in South Korea brings together three different people—an illegal ""night courier"" with the codename ""Healer"" (Ji Chang-wook) who possesses top-notch fighting skills, a reporter from a second-rate tabloid news website (Park Min-young), and a famous journalist at a major broadcast station (Yoo Ji-tae). While trying to uncover the truth from that 1992 incident and a series of present day murders, they grow into honest reporters who try to blur the lines of conflict between truth and reality, even if that means fighting media honchos.",KBS2,,"Action, Thriller, Romance",,,"December 8, 2014 –
February 10, 2015",,"Ji Chang-wook, Park Min-young, Yoo Ji-tae",Song Ji-na,"Lee Jung-sub, Kim Jin-woo",20,"2014, 2015",-
Heard It Through the Grapevine (TV series),"Heard It as a Rumor, I Heard a Rumor","Heard It Through the Grapevine is a black comedy that satirizes the way of life of Korea's upper class, who wield enormous power and thrive on inherited wealth and lineage.",SBS TV,,"Drama, Satire, Black comedy, Family, Romance",,,"February 23 –
June 2, 2015",,"Yoo Jun-sang, Yoo Ho-jeong, Lee Joon, Go Ah-sung",Jung Sung-joo,Ahn Pan-seok,30,2015,-
Heart Surgeons,"Two Lives One Heart, Thoracic Surgery, Cardiothoracic Surgery",The series revolves around the thoracic surgery department of a hospital.,SBS TV,,Medical drama,,,"September 27 –
November 15, 2018",,"Go Soo, Um Ki-joon, Seo Ji-hye","Choi Soo-jin, Choi Chang-hwan",Jo Young-kwang,32,2018,-
Heart to Heart (South Korean TV series),-,"Go Yi-seok (Chun Jung-myung) is a successful psychiatrist with a best-selling book and talk show appearances under his belt. Though loving, sensitive and caring towards his family, he is also insecure, egocentric and suffers from an inferiority complex, caused by his childhood experiences. The resulting juvenile behaviour renders him incapable of forming meaningful relationships with women. To make matters worse, he's gradually developing a phobia of his patients, being unable to empathise with their whining — which drives him to drink while on duty.",tvN,,"Romance, Comedy, Medical drama",,,"January 9 –
March 7, 2015",,"Choi Kang-hee, Chun Jung-myung, Lee Jae-yoon",Lee Jung-ah,Lee Yoon-jung,16,2015,-
Heartbeat (South Korean TV series),-,"Half-human and half-vampire Seon Woo-hyul (Ok Taec-yeon) somehow starts to live together with coldhearted woman Joo In-hae (Won Ji-an). The two fall in love with each other, bringing warmth into their lives.",KBS2,,"Fantasy, Romantic comedy",,,"June 26 –
August 15, 2023",,"Ok Taec-yeon, Won Ji-an, Kang-hyun Park, Yoon So-hee","Kim Ha-na, Jung Seung-joo","Lee Hyun-seok, Lee Min-soo",16,2023,-
Heartless City,-,This noir/crime drama revolves around the love and struggles of undercover agents and members of the nation's largest drug ring.,JTBC,,"Noir/Crime, Action, Romance",,,"May 27 –
July 30, 2013",,"Jung Kyung-ho, Lee Jae-yoon, Nam Gyu-ri",Yoo Seong-yeol,Lee Jung-hyo,20,2013,-
Hearts and Hari,-,-,Tooniverse,,"Drama, Horror, Romance",,,"January 17 –
March 21, 2020",,"Park Ji-ye, Hyunjun",-,"Yul Kim, Wooyeol Lee",12,2020,-
Hearts of Nineteen,Pure in Heart,"Yang Gook-hwa (양국화) is a nineteen-year-old country girl who leaves Yanbian and travels to Seoul because she is marrying Hong Soon-goo (홍순구), the third son in an average but respectable family. When she arrives in Seoul, however, she finds out that her fiancé has just died in a terrible car accident. Instead of returning to Yanbian, she decides to stay and create a new life in Korea while sending money back to her aunt and uncle. While she lives in Korea, she is taken in as a family member by Soon-goo's family. Hong Woo-kyung (홍우경), the son of Soon-goo's oldest brother Moon-goo (문구), especially cares for her like his own sister. Woo-kyung works in the marketing department of UT, a huge telecommunications company. His former classmate Park Yoon-hoo (박윤후), the son of UT's CEO, also works in the marketing department, in a higher position. Yoon-hoo's spoiled younger sister Yoon-jeong (윤정) attends college. The oldest child, Yoon-ji (윤지), is estranged from the family due to her marriage to a poor car salesman.",KBS1,,"Drama, Romantic comedy",,,"May 22, 2006 –
January 12, 2007",,"Koo Hye-sun, Seo Ji-seok, Lee Min-woo, Lee Yoon-ji, Chu So-young",-,-,167,"2006, 2007",-
Heartstrings (South Korean TV series),-,"A series of misunderstandings causes Lee Shin (Jung Yong-hwa), the cocky leader of ""The Stupid"" and Lee Gyu-won (Park Shin-hye), a college student majoring in Traditional Korean Music, to start on the wrong foot. Gyu-won does not understand why Lee Shin is so popular, until one day she is forced to go the band's concert with her friends, who are fans of The Stupid. There, she sees Lee Shin performing live, and is immediately captivated by him.",MBC TV,,"Romance, Melodrama, Musical",,,"June 29 –
August 19, 2011",,"Park Shin-hye, Jung Yong-hwa",Lee Myung-sook,Pyo Min-soo,15 (+1 special),2011,-
Heaven & Earth (TV series),"As Much as Heaven and Earth, By Land and Sky, High as the Sky, Wide as the Earth","Jung Mu-young (Park Hae-jin) was left by his birth mother under the care of Kim Tae-shik (Jung Han-yong) and his wife Park Myung-ja (Jung Ae-ri) when he was very young. His mother promises to come for him later, but she never does. The Kim family raise Mu-young like he is their own son, but never change his family name because they think his birth mother might come later to pick him up. Despite the lack of money, Myung-ja manages to keep the family together; moreover, she never once treats Mu-young any differently than her biological son. Still, having a different family name from his older brother Kim Sang-hyun (Lee Joo-hyun) makes him run away from home several times. Mu-young is outwardly rebellious, unforgiving, and in constant conflict with his family. He keeps an emotional distance from them, for fear of getting hurt one day. At school he meets the cheerful and kindhearted Seok Ji-soo (Han Hyo-joo), who not only values her family greatly, but also goes out of her way to help others. Thinking too highly of Ji-Soo and too lowly of himself, and aware of the possible negative reaction her family might have toward his confession to her, he tries to keep a distance between himself and Ji-Soo.",KBS1,,"Romance, Drama, Family",,,"January 15 –
August 31, 2007",,"Park Hae-jin, Han Hyo-joo, Kang Jung-hwa, Lee Joo-hyun, Hong Soo-ah",Choi Hyun-kyung,Moon Bo-hyun,165,2007,-
Heavenly Ever After,-,"An elderly woman named Lee Hae-sook died at the age of 80. Since her husband's accident, she has provided for her family on her own. Hae-sook makes an odd choice when she first arrives at the Heaven Admission Counseling Office: she decides to keep her 80-year-old appearance for her afterlife. Her husband's affectionate remarks that she was gorgeous at all ages, but particularly now, had an impact on this choice. Hae-sook and her husband, Ko Nak-joon, are reunited in Heaven. But she is shocked to see him in his younger, thirty-year-old self, and he is equally shocked to see her looking older. As it happens, Hae-sook is the only individual in Heaven who has decided against going back to their younger self. In the meantime, Nak-joon delivers letters of well wishes from Earth while working as a postman in Heaven. While he waited for Hae-sook, he constructed a stunning home in Heaven and died before her.",JTBC,,Romantic fantasy,,,"April 19 –
May 25, 2025",,"Kim Hye-ja, Son Suk-ku, Han Ji-min, Lee Jung-eun, Chun Ho-jin, Ryu Deok-hwan","Lee Nam-kyu, Kim Su-jin",Kim Sok-yoon,12,2025,-
Hell Is Other People (TV series),Strangers from Hell,"It tells the story of a young man in his 20s who moves to Seoul after landing an internship in a company. While looking for a place to stay, Yoon Jong-woo stumbles upon Eden Studio, an ominous cheap dormitory and decides to stay there as he is low on money. Though not thrilled about the quality of the place and its abnormal residents, including his next-door neighbor Seo Moon-jo, he decides to tolerate it until he saves enough money to move out. However, mysterious occurrences start occurring in the studio, causing Jong-woo to start fearing the studio's residents.",OCN,,Psychological thriller,,,"August 31 –
October 6, 2019",,"Im Si-wan, Lee Dong-wook",Jung Yi-do,Lee Chang-hee,10,2019,-
Hellbound (TV series),-,"Hellbound takes place in 2022–27 in South Korea. An otherworldly face called an angel suddenly starts to materialize to deliver prophecies called decrees that condemn certain individuals to Hell at a specific future time, either seconds or years away. Three monstrous supernatural beings called demons appear at almost the exact time to maul and incinerate the person's body in a spectacular show of force called a demonstration. Two organizations in cahoots, the cult-like New Truth Society and the gang-like Arrowhead group, gain power by playing on people's fears.",Netflix,,"Supernatural, Dark fantasy, Thriller",,,"November 19, 2021 –
present",,"Yoo Ah-in, Kim Hyun-joo, Park Jeong-min, Won Jin-ah, Yang Ik-june, Kim Do-yoon, Kim Shin-rok, Ryu Kyung-soo, Lee Re, Kim Sung-cheol, Im Seong-jae, Lee Dong-hee, Hong Eui-jun, Cho Dong-in","Yeon Sang-ho, Choi Gyu-seok",Yeon Sang-ho,12,2021,-
Hello Dracula,-,"Three stories of people trying to overcome their own problems, their draculas.",JTBC,,Drama,,,"February 17 –
February 18, 2020",,"Seohyun, Lee Ji-hyun, Lee Joo-bin, Go Na-hee, Seo Eun-yool",Ha Jung-yoon,Kim Da-ye,2,2020,-
Hello Franceska,"Hello, Francesca","Romania, 2005. The last of the vampire families on earth are sent by their leader to different places all over the world, and told to hide themselves and live among humans until ""the glory of their empire"" is restored.",Munhwa Broadcasting Corporation,,"Horror, Comedy, Vampire, Sitcom, Black comedy, Satire",,,"January 24, 2005 –
February 27, 2006",,"Shim Hye-jin, Lee Doo-il, Jung Ryeo-won, Lee Kyeon, Park Seul-gi, Park Hee-jin, Shin Hae-chul, Kim Soo-mi, Kang Doo, Hyun Young, Lee In-sung","Shin Jung-gu (seasons 1-2), Kim Hyun-hee (season 3)","Noh Do-chul (seasons 1-2), Jo Hee-jin (season 3)",52,"2005, 2006",-
Hello Monster,I Remember You,"Genius profiler Lee Hyun, returns home to Korea after something from a case he has been sent triggers a memory he thought he had lost forever. Unbeknownst to him, one of his team members, Detective Cha Ji-an, has been investigating him for some time. She is aware that his father was murdered and his brother disappeared under mysterious circumstances involving a criminal named Lee Joon Young whom they both want found and incarcerated. Each seeks to unravel the other, unaware that they've been drawn into a dangerous game of cat and mouse by a master player and that both truth and evil are closer and far more twisted than they think.",KBS2,,"Thriller, Mystery, Police procedural",,,"June 22 –
August 11, 2015",,"Seo In-guk, Jang Na-ra, Choi Won-young, Park Bo-gum",Kwon Ki-young,"Noh Sang-hoon, Kim Jin-won",16,2015,-
Hello My Teacher,"Biscuit Teacher and Star Candy, Hardtack Teacher and Sugar Candy","Na Bo-ri (Gong Hyo-jin) is a 25-year-old woman who desperately wants to be a teacher at the high school she was kicked out of due to a misunderstanding with her teachers over injuring a group of male classmates (she had been a legend there for being a troublemaker and getting into fights). After overcoming numerous hardships and getting her high-school equivalency certification, she rejects job offers from other high schools and works on becoming a substitute teacher at her old high school so she can work side by side with her longtime high school crush, the art teacher Ji Hyun-woo (Kim Da-hyun).",SBS,,-,,,"April 13 –
June 2, 2005",,"Gong Hyo-jin, Gong Yoo, Kim Da-hyun, Choi Yeo-jin","Park Kye-ok, Kim Jung-ah","Oh Jong-rok, Kim Hyung-shik",16,2005,-
Hello! Miss,"Hello! My Lady, Hello! Baby","Lee Su-ha is the last living daughter of a once-respected clan in the countryside. Always wearing a beautiful hanbok, Su-ha is the embodiment of traditional feminine virtues. Her peaceful life is interrupted when the son of a rich investor, Hwang Dong-gyu demands that she sell her ancestral house, which has 99 pillars, to him. (Under rules dating from the Joseon period, no one but a king could have a house with more than 99 pillars.) But she scoffs at his offer and tries to save her home by holding traditional home-stay programs for urban residents. She also finds out that the kind-hearted Dong-gyu and his brash cousin and rival Hwang Chan-min, are descended from a servant family that worked for her clan during the days of the monarchy.",Korean Broadcasting System,,"Romance, Comedy, Drama",,,"March 19 –
May 8, 2007",,"Lee Da-hae, Lee Ji-hoon, Ha Seok-jin, Yeon Mi-joo",Park Young-sook,Lee Min-hong,16,2007,-
"Hello, Me!",-,"Hello, Me! tells the story of Bahn Ha-ni who, one day, meets her enthusiastic, passionate and fearless 17-year-old personality. With her younger personality, she heals her wounds and learns how to love herself again.",KBS2,,"Drama, Fantasy, Romantic comedy",,,"February 17 –
April 8, 2021",,"Choi Kang-hee, Kim Young-kwang, Lee Re, Eum Moon-suk",Yoo Song-yi,Lee Hyun-seok,16,2021,-
"Hello, My Twenties!",Age of Youth,"A slice-of-life story about five girls who live together in a sharehouse called ""Belle Epoque"" and how they connect over the growing pains in their youth. It is based on the issues that younger generations are likely to face in South Korea.",JTBC,,"Romance, Mystery",,,"July 22, 2016 –
October 7, 2017",,"Han Ye-ri, Han Seung-yeon, Park Eun-bin, Ryu Hwa-young, Park Hye-su, Ji Woo, Choi Ara",Park Yeon-seon,"Lee Tae-gon, Kim Sang-ho",26,"2016, 2017",-
Heo's Diner,-,"Heo Gyun, a man from the Joseon period unexpectedly travels 400 years into the future and starts to open restaurant.","Netflix
Wavve",,"Time slip, Fantasy, Romantic comedy",,,"March 24 –
April 22, 2025",,"Xiumin, Chu So-jung, Lee Sae-on, Lee Soo-min",Sung So-hyun,"Oh Hwan-min, Kim Kyung-eun",10,2025,-
Her Private Life (TV series),-,"Sung Deok-mi (Park Min-young) is a talented chief curator of Cheum Museum of Art, who also happens to have a secret: she is a fangirl of White Ocean's Cha Shi-an (Jung Jae-won). In addition, she is the fansite manager of the famous ""The Road to Sian"" (Korean: 시안은 나의 길; RR: Sianeun naui gil; lit. 'Sian is My Way'), the abbreviation of which (Korean: 시나길; RR: Sinagil) she uses as her screen name. Ryan Gold (Kim Jae-wook) is a standoffish artist who develops Stendhal syndrome, eventually retiring as an artist. After the current boss, Uhm So-hye (Kim Sun-young), is investigated for embezzlement, Ryan Gold becomes the new Art Director of Cheum Museum of Art.",tvN,,Romantic comedy,,,"April 10 –
May 30, 2019",,"Park Min-young, Kim Jae-wook",Kim Hye-young,Hong Jong-chan,16,2019,-
Here Comes Mr. Oh,"Oh Ja-ryong is Coming, Here Comes Oh Ja-ryong","The drama juxtaposes two very different men who married two sisters. Oh Ja-ryong is a gregarious and good-natured fellow with a pure heart who is honestly devoted to his wife Gong-joo, while Jin Yong-seok married his wife Jin-joo because of her family's fortune and is now plotting to steal their estate. The jobless Ja-ryong stands up to his greedy and conniving brother-in-law Yong-seok, and saves his in-laws from ruin.",Munhwa Broadcasting Corporation,,"Family, Romance",,,"November 19, 2012 –
May 17, 2013",,"Lee Jang-woo, Oh Yeon-seo, Jin Tae-hyun, Seo Hyun-jin",Kim Sa-kyung,"Choi Won-seok, Lee Jae-jin",129,"2012, 2013",-
Here's My Plan,Got a Goal,"The story of a young woman who believes that her whole life has been unfortunate plans the ""Happiness Ruining Project"" to avenge those who made her life unhappy.",MBC TV,,"Family drama, Romance, Revenge",,,"May 19 –
May 27, 2021",,"Kim Hwan-hee, Ryu Soo-young, Kim Do-hoon, Lee Young-jin",Ryu Sol-ah,Shim Soo-yeon,4,2021,-
Hero (2009 TV series),-,"Jin Do-hyuk (Lee Joon-gi) lost his parents at an early age after they were killed in a hit-and-run car accident. His older sister, Do-hee (Jang Young-nam), raised him, though she is immature and impulsive, and often takes Do-hyuk's money if he has any. Do-hyuk wants to become a journalist like his father, and his dream job is to work at the prestigious newspaper Daese Ilbo. But because of their poor financial situation, Do-hyuk is unable to attend college. Instead, he gets hired at the tabloid Monday Seoul, famous for its scandalous articles and ruthless paparazzi. Still, the optimistic and energetic Do-hyuk does his best and uses any means necessary to cover a story.",Munhwa Broadcasting Corporation,,"Comedy, Action, Drama",,,"November 18, 2009 –
January 14, 2010",,"Lee Joon-gi, Yoon So-yi, Um Ki-joon, Baek Yoon-sik",Park Ji-suk,"Kim Kyung-hee, Lee Dong-yoon",16,"2009, 2010",-
"Hi Bye, Mama!",-,"Cha Yu-ri (Kim Tae-hee) has been a ghost since she died in a tragic accident five years ago. Through a reincarnation project, she is given the possibility to become human again if she succeeds in going back to her place within 49 days. However, her husband, Cho Gang-hwa (Lee Kyu-hyung), is now remarried. She has to choose between her own or her husband's happiness.",tvN,,"Tragicomedy, Fantasy, Melodrama",,,"February 22 –
April 19, 2020",,"Kim Tae-hee, Lee Kyu-hyung, Go Bo-gyeol",Kwon Hye-joo,Yoo Je-won,16,2020,-
Hi! School: Love On,High School: Love On,"Sung-yeol and Woo-hyun are two 18-year-old boys who are both tormented by the emotional scars of broken families; Woo-hyun longs to see again his mother who left him as a child, while Sung-yeol lives with a stepmother that he detests and whom he blames for the break up of his parents' marriage. Both are considered asocial by Korean norms, although popular, brave and public spirited Woo-hyun drifts through school refusing to apply himself to his studies; Sung-yeol is studious and does well academically but is dismissive and disrespectful of his parents, aloof and detached from his classmates, appearing cold and arrogant to all. The lives of the two crash together when an angel falls from heaven.",KBS2,,"Romance, School, Supernatural, Teen, Comedy",,,"July 11 –
December 19, 2014",,"Kim Sae-ron, Nam Woo-hyun, Lee Sung-yeol",Lee Jae-yeon,"Sung Joon-hae, Lee Eun-mi",20,2014,-
Hidden Identity (TV series),Hide Your Identity,"An undercover investigative squad of homicide detectives is formed, and their extra-legal methods include wiretapping, communications monitoring and deep-cover infiltration. Among its members are Cha Geon-woo (Kim Bum), a former ROKN SEAL and KNP SWAT member who pursues his targets doggedly and is secretly on a revenge mission after his girlfriend's death; principled and perceptive team leader Jang Moo-won (Park Sung-woong), who was granted permission to form the squad and will personally face the consequences if it fails; Jang Min-joo (Yoon So-yi), who's skilled in disguise, psychoanalysis and martial arts; and sly Choi Tae-pyung (Lee Won-jong), who gets information from shady back-alley connections.",tvN,,"Police procedural, Action, Thriller",,,"June 16 –
August 4, 2015",,"Kim Bum, Park Sung-woong, Yoon So-yi, Lee Won-jong",Kang Hyun-sung,"Kim Jung-min, Shin Yong-hwi",16,2015,-
Hide (TV series),-,"When her husband disappears without a trace, Na Moon-yeong begins a search to find him and uncover the secrets of his disappearance.","Coupang Play
JTBC",,"Mystery, Suspense",,,"March 23 –
April 28, 2024",,"Lee Bo-young, Lee Moo-saeng, Lee Chung-ah, Lee Min-jae","Lee Hee-soo, Choi Ah-yul, Hwang Yu-jeong",Kim Dong-hwi,12,2024,-
Hide and Seek (TV series),-,The tangled fates of the heiress of a cosmetics company and a woman who had to achieve everything on her own.,MBC TV,,"Romance, Melodrama, Mystery",,,"August 25 –
November 17, 2018",,"Lee Yu-ri, Song Chang-eui, Uhm Hyun-kyung, Kim Young-min",Seol Kyung-eun,Shin Yong-whee,48,2018,-
Hierarchy (TV series),-,"Founded by South Korea's top conglomerate, the Jooshin Group, Jooshin High School is a place where children are chosen from the moment they are born. At this prestigious private high school, an exciting story of love, friendship, revenge, and compassion unfolds among eighteen young people.",Netflix,,"Teen drama, Romance, Mystery",,,"June 7, 2024",,"Roh Jeong-eui, Lee Chae-min, Kim Jae-won, Ji Hye-won, Lee Won-jung",Chu Hye-mi,Bae Hyeon-jin,7,2024,-
High Class (TV series),High-class,It is about the fibs and hypocrisies hidden behind the perfect lives of the women who live in the top 0.1 percent bracket of the society. It builds the suspense and mystery around those who live it.,tvN,,"Mystery, Suspense, Drama",,,"September 6 –
November 1, 2021",,"Cho Yeo-jeong, Kim Ji-soo, Kim Young-jae",-,Choi Byeong-gil,16,2021,-
High Cookie,Hi Cookie,"The series is about an elite high school being engulfed by a mysterious homemade cookie that makes desires come true with just one bite. However, having more than one cookie can cost one their life. After Choi Soo-young (Nam Ji-hyun)'s sister falls prey to the cookie and goes into a coma, she pretends to be a student at Jeonghan High School to find the antidote as well as the Chef, the maker of the cookies.",U+ Mobile TV,,"Mystery, Thriller, Crime",,,"October 23 –
November 23, 2023",,"Nam Ji-hyun, Choi Hyun-wook, Kim Mu-yeol, Jung Da-bin",Kang Han,Song Min-yeop,20,2023,-
