title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
The Last Empress (TV series),An Empress' Dignity,"The Last Empress is set in an alternate universe, in which Korea is a constitutional monarchy in 2018, Oh Sunny is a bright and vivacious musical actress who marries the Emperor of the Korean Empire. She becomes involved in the palace power struggle and a mysterious murder that sets off events that threaten the monarchy itself, while searching for true love and happiness. She teams up with Na Wang Shik who works as a bodyguard for the imperial family in order to uncover the crimes of the Imperial family. Na Wang Shik started working in the palace to take revenge on the person responsible for his mother's death.",SBS TV,,"Mystery, Thriller, Action, Romance, Comedy",,,"November 21, 2018 –
February 21, 2019",,"Jang Na-ra, Choi Jin-hyuk, Shin Sung-rok, Lee Elijah, Shin Eun-kyung",Kim Soon-ok,Joo Dong-min,52,"2018, 2019",-
The Last Match,-,"The Last Match (Korean: 마지막 승부; RR: Majimak seungbu) is a 1994 South Korean television series starring Jang Dong-gun, Son Ji-chang, Shim Eun-ha, and Lee Sang-ah. It aired on MBC on Mondays and Tuesdays at 21:50 for 16 episodes beginning January 3, 1994.",MBC TV,,"Drama, Sports",,,"January 3 –
February 22, 1994",,"Jang Dong-gun, Son Ji-chang, Shim Eun-ha, Lee Sang-ah",-,-,16,1994,-
The Law Cafe,-,"The Law Cafe tells the love story of Kim Jeong-ho (Lee Seung-gi), a former prosecutor who is known as ""Monster Genius"", and Kim Yu-ri (Lee Se-young), a beautiful lawyer with a four-dimensional personality.",KBS2,,"Legal, Romance",,,"September 5 –
October 25, 2022",,"Lee Seung-gi, Lee Se-young",Im Ji-eun,Lee Eun-jin,16,2022,-
The Legend (TV series),-,"A long time ago, a tribe that respected the tiger and controlled fire called the Ho-jok (Tiger Tribe), ruled the world. They eliminated and assimilated all tribes except the tribe that respected the bear, called the Ung-jok (Bear Tribe). The Tiger Tribe and the Bear Tribe fought, and Hwan-woong could not bear to see so many people getting killed. He brought the three gods of nature; Poong-Baek (백호, the White Tiger), Woonsa (청룡, the Azure Dragon), and Woosa (현무, the Turtle Snake).",Munhwa Broadcasting Corporation,,"Fantasy, Period drama, Romance",,,"September 11 –
December 5, 2007",,"Bae Yong-joon, Lee Ji-ah, Moon So-ri, Choi Min-soo","Park Kyung-soo, Song Ji-na","Kim Jong-hak, Yoon Sang-ho",24,2007,-
The Legend of the Blue Sea,-,".mw-parser-output .ambox{border:1px solid #a2a9b1;border-left:10px solid #36c;background-color:#fbfbfb;box-sizing:border-box}.mw-parser-output .ambox+link+.ambox,.mw-parser-output .ambox+link+style+.ambox,.mw-parser-output .ambox+link+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+style+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+link+.ambox{margin-top:-1px}html body.mediawiki .mw-parser-output .ambox.mbox-small-left{margin:4px 1em 4px 0;overflow:hidden;width:238px;border-collapse:collapse;font-size:88%;line-height:1.25em}.mw-parser-output .ambox-speedy{border-left:10px solid #b32424;background-color:#fee7e6}.mw-parser-output .ambox-delete{border-left:10px solid #b32424}.mw-parser-output .ambox-content{border-left:10px solid #f28500}.mw-parser-output .ambox-style{border-left:10px solid #fc3}.mw-parser-output .ambox-move{border-left:10px solid #9932cc}.mw-parser-output .ambox-protection{border-left:10px solid #a2a9b1}.mw-parser-output .ambox .mbox-text{border:none;padding:0.25em 0.5em;width:100%}.mw-parser-output .ambox .mbox-image{border:none;padding:2px 0 2px 0.5em;text-align:center}.mw-parser-output .ambox .mbox-imageright{border:none;padding:2px 0.5em 2px 0;text-align:center}.mw-parser-output .ambox .mbox-empty-cell{border:none;padding:0;width:1px}.mw-parser-output .ambox .mbox-image-div{width:52px}@media(min-width:720px){.mw-parser-output .ambox{margin:0 10%}}@media print{body.ns-0 .mw-parser-output .ambox{display:none!important}}",SBS TV,,"Fantasy, Romance, Comedy",,,"November 16, 2016 –
January 25, 2017",,"Jun Ji-hyun, Lee Min-ho",Park Ji-eun,"Jin Hyuk, Park Seon-ho",20 + 1 special,"2016, 2017",-
The Liar and His Lover (TV series),Lovely Love Lie,"The series focuses on a heartbroken genius music composer Kang Han-gyul (Lee Hyun-woo) who meets the talented singer and student Yoon So-rim (Park Soo-young) while he is living under a hidden identity. With her courageous honesty and beautiful singing skills, So-rim draws Han-gyul back to her time again. Along the way, the two of them clash as So-rim starts her career in the music industry and begins to uncover Han-gyul's lies.",TVN,,Romantic comedy,,,"March 20 –
May 9, 2017",,"Lee Hyun-woo, Park Soo-young, Lee Jung-jin, Lee Seo-won, Hong Seo-young",Kim Kyung-Min,Kim Jin-min,16,2017,-
The Lies Within,-,The story of a woman who joins the National Assembly and teams up with a detective to save her husband after he abruptly disappears following the sudden death of her father.,OCN,,Thriller,,,"October 12 –
December 1, 2019",,"Lee Min-ki, Lee Yoo-young","Jeon Young-sin, Won Yoo-jung",Lee Yoon-jung,16,2019,-
The Light in Your Eyes (TV series),"Dazzling, Radiant","To prevent her father from dying in a car accident, Kim Hye Ja manipulates time with a special watch she found at a beach as a child. However, manipulating time comes with a heavy price- Hye Ja will age each time she turns back time. Meanwhile, a young man named Lee Joon Ha who has a beautiful friendship with Hye Ja, is exhausted from his family problems and has given up on all his dreams. He now works as a scammer at an elderly care center unaware that Hye Ja has become an old lady and goes there to pass time after turning old for manipulating time. The two cross each other's paths again, but this time both have changed.",JTBC,,Melodrama,,,"February 11 –
March 19, 2019",,"Kim Hye-ja, Han Ji-min, Nam Joo-hyuk, Son Ho-jun","Lee Nam-kyu, Kim Soo-jin",Kim Suk-yoon,12,2019,-
The Love in Your Eyes (TV series),-,"Lee Young-yi, who lost her husband at a young age, moves on with her new one's family and works daily for her daughter. She dreams to go beyond working part-time at a convenience store and become a full-time employee at the head office. Meanwhile, Jang Kyung-joon, the eldest grandson of TS Retail, underwent a corneal transplant five years ago with a donation from Young-yi's late husband and gained a new vision and a new life. The series revolves around the romantic adventures of Young-yi and her second love, Kyung-joon, who has the eyes of her late husband.",KBS1,,"Melodrama, Romance, Family",,,"October 3, 2022 –
March 24, 2023",,"Baek Sung-hyun, Bae Noo-ri, Choi Yoon-ra, Jung Soo-hwan",Na Seung-hyun,Go Young-tak,123,"2022, 2023",-
The Love Is Coming,-,"The Love Is Coming (Korean: 사랑이 오네요; RR: Sarangi oneyo; lit. Here Comes Love) is a 2016 South Korean television series starring Kim Ji-young, Lee Min-young, Go Se-won and Lee Hoon. It airs on SBS on Mondays to Fridays at 8:30 AM KST starting June 20, 2016.",SBS,,"Family, Romance, Melodrama",,,"June 20 –
December 13, 2016",,"Kim Ji-young, Lee Min-young, Go Se-won, Lee Hoon",Kim In-Kang,-,122,2016,-
